# Constants
g = 9.810000
m = 0.005000
R = 0.100000
L = 0.200000
Ig = 0.000017
I0 = 0.000067
ue = 0.300000
uc = 0.200000

# Simulation parameters
dt = 0.001000
dtheta0 = 0.000000

# Simulation data
# t 	 slip 	 ii 	 N 	 theta 	 dtheta 	 ddtheta 	 x 	 dx 	 ddx 	 y 	 dy 	 ddy 	 x1 	 y1 	 x2 	 y2
0.031000 0 1 0.048631 1.467246 -0.230382 -7.605093 0.010337 0.022915 0.755887 0.099464 -0.002381 -0.083889 -0.000000 0.000000 0.020673 0.198929
0.032000 0 1 0.048627 1.467012 -0.237995 -7.622230 0.010360 0.023671 0.757535 0.099462 -0.002466 -0.084599 -0.000000 0.000000 0.020720 0.198924
0.033000 0 1 0.048623 1.466770 -0.245626 -7.639926 0.010384 0.024430 0.759236 0.099459 -0.002551 -0.085333 -0.000000 0.000000 0.020768 0.198919
0.034000 0 1 0.048620 1.466521 -0.253275 -7.658179 0.010409 0.025190 0.760990 0.099457 -0.002636 -0.086091 -0.000000 0.000000 0.020817 0.198914
0.035000 0 1 0.048616 1.466264 -0.260943 -7.676993 0.010434 0.025952 0.762798 0.099454 -0.002723 -0.086876 -0.000000 0.000000 0.020868 0.198908
0.036000 0 1 0.048612 1.465999 -0.268629 -7.696368 0.010461 0.026716 0.764660 0.099451 -0.002810 -0.087685 -0.000000 0.000000 0.020921 0.198903
0.037000 0 1 0.048607 1.465726 -0.276336 -7.716305 0.010488 0.027481 0.766574 0.099449 -0.002898 -0.088520 -0.000000 0.000000 0.020975 0.198897
0.038000 0 1 0.048603 1.465446 -0.284062 -7.736807 0.010516 0.028249 0.768543 0.099446 -0.002987 -0.089381 -0.000000 0.000000 0.021031 0.198891
0.039000 0 1 0.048599 1.465158 -0.291809 -7.757874 0.010544 0.029018 0.770565 0.099443 -0.003077 -0.090268 -0.000000 0.000000 0.021088 0.198885
0.040000 0 1 0.048594 1.464863 -0.299578 -7.779508 0.010574 0.029790 0.772641 0.099439 -0.003168 -0.091182 -0.000000 0.000000 0.021147 0.198879
0.041000 0 1 0.048589 1.464559 -0.307369 -7.801710 0.010604 0.030564 0.774771 0.099436 -0.003259 -0.092122 -0.000000 0.000000 0.021208 0.198872
0.042000 0 1 0.048585 1.464248 -0.315182 -7.824483 0.010635 0.031339 0.776955 0.099433 -0.003352 -0.093089 -0.000000 0.000000 0.021269 0.198866
0.043000 0 1 0.048580 1.463929 -0.323018 -7.847827 0.010666 0.032118 0.779193 0.099430 -0.003445 -0.094083 -0.000000 0.000000 0.021333 0.198859
0.044000 0 1 0.048574 1.463602 -0.330878 -7.871744 0.010699 0.032898 0.781485 0.099426 -0.003540 -0.095104 -0.000000 0.000000 0.021398 0.198852
0.045000 0 1 0.048569 1.463267 -0.338762 -7.896236 0.010732 0.033680 0.783831 0.099422 -0.003636 -0.096154 -0.000000 0.000000 0.021464 0.198845
0.046000 0 1 0.048564 1.462924 -0.346670 -7.921306 0.010766 0.034466 0.786232 0.099419 -0.003732 -0.097231 -0.000000 0.000000 0.021533 0.198837
0.047000 0 1 0.048558 1.462574 -0.354604 -7.946953 0.010801 0.035253 0.788688 0.099415 -0.003830 -0.098337 -0.000000 0.000000 0.021602 0.198830
0.048000 0 1 0.048553 1.462215 -0.362564 -7.973181 0.010837 0.036043 0.791198 0.099411 -0.003929 -0.099472 -0.000000 0.000000 0.021674 0.198822
0.049000 0 1 0.048547 1.461848 -0.370551 -7.999991 0.010873 0.036835 0.793763 0.099407 -0.004029 -0.100635 -0.000000 0.000000 0.021746 0.198814
0.050000 0 1 0.048541 1.461474 -0.378565 -8.027385 0.010910 0.037630 0.796383 0.099403 -0.004130 -0.101828 -0.000000 0.000000 0.021821 0.198806
0.051000 0 1 0.048535 1.461091 -0.386606 -8.055365 0.010949 0.038428 0.799058 0.099399 -0.004233 -0.103051 -0.000000 0.000000 0.021897 0.198798
0.052000 0 1 0.048528 1.460701 -0.394675 -8.083933 0.010987 0.039229 0.801787 0.099395 -0.004336 -0.104303 -0.000000 0.000000 0.021975 0.198789
